,Date,Open,High,Low,Close,Adj Close,Volume
9136,2017-03-07,34.764999,34.994999,34.697498,34.880001,32.974262,69785200
8002,2012-08-30,23.951429,23.983929,23.673214,23.709642,20.415098,302699600
8921,2016-04-28,24.4025,24.469999,23.5625,23.7075,21.9482,328970800
9872,2020-02-07,80.592499,80.849998,79.5,80.0075,79.023567,117684000
9784,2019-10-02,55.764999,55.895,54.482498,54.740002,53.77734,138449200
7324,2009-12-22,7.122857,7.173214,7.095,7.155714,6.13506,349515600
2832,1992-02-26,0.609375,0.625,0.609375,0.623884,0.511664,229084800
5829,2004-01-15,0.409107,0.417857,0.401786,0.408036,0.349836,1018208800
393,1982-07-06,0.051897,0.051897,0.051339,0.051339,0.040181,87696000
10252,2021-08-11,146.050003,146.720001,145.529999,145.860001,145.64743,48493500
3997,1996-10-03,0.210938,0.212054,0.199777,0.199777,0.171282,227718400
6578,2007-01-08,3.07,3.090357,3.045714,3.0525,2.617108,797106800
5953,2004-07-15,0.583214,0.600536,0.573393,0.588036,0.504162,1767724000
296,1982-02-16,0.082589,0.082589,0.082031,0.082031,0.064203,34316800
4901,2000-05-04,1.027902,1.029018,0.987165,0.988281,0.847318,399515200
561,1983-03-03,0.208705,0.210938,0.201451,0.202009,0.158105,131532800
1063,1985-02-26,0.121652,0.12221,0.11942,0.11942,0.093466,188966400
7743,2011-08-22,13.018214,13.031429,12.681786,12.73,10.914257,535315200
8084,2012-12-31,18.233213,19.121429,18.178572,19.006071,16.439852,659492400
6117,2005-03-09,1.415714,1.438571,1.386786,1.405357,1.204904,1322465200
8241,2013-08-15,17.729286,17.942858,17.467142,17.782499,15.676364,490294000
3593,1995-03-01,0.354911,0.358259,0.351981,0.357143,0.303578,224448000
1905,1988-06-27,0.397321,0.405134,0.397321,0.397321,0.313761,83619200
8403,2014-04-08,18.756786,18.790001,18.525,18.694286,16.675606,243888400
2224,1989-09-29,0.404018,0.40625,0.397321,0.397321,0.317495,69809600
9054,2016-11-04,27.1325,27.5625,27.0275,27.209999,25.612278,123348000
8938,2016-05-23,23.967501,24.297501,23.9175,24.1075,22.454401,152074400
5687,2003-06-24,0.347679,0.35125,0.334286,0.335357,0.287523,514382400
2396,1990-06-06,0.348214,0.352679,0.345982,0.352679,0.284213,211747200
8966,2016-07-01,23.872499,24.1175,23.8325,23.9725,22.328657,104106000
7703,2011-06-24,11.834643,11.898214,11.610357,11.655357,9.992897,439807200
5053,2000-12-08,0.264509,0.273438,0.257813,0.268973,0.230608,435624000
7927,2012-05-15,20.051786,20.115,19.705357,19.756071,16.938164,476336000
10342,2021-12-17,169.929993,173.470001,169.690002,171.139999,171.139999,195432700
8789,2015-10-19,27.700001,27.9375,27.5275,27.932501,25.610472,119036800
3698,1995-07-31,0.40625,0.407366,0.399554,0.401786,0.342473,158524800
7215,2009-07-20,5.473929,5.537143,5.388929,5.461071,4.682131,735526400
9953,2020-06-04,81.097504,81.404999,80.195,80.580002,79.804459,87560400
7605,2011-02-03,12.278571,12.294286,12.091071,12.265714,10.516194,393797600
5903,2004-05-03,0.464286,0.470179,0.459643,0.465536,0.399134,297634400
497,1982-12-01,0.142299,0.15067,0.142299,0.145089,0.113556,206841600
2761,1991-11-13,0.482143,0.486607,0.477679,0.483259,0.394645,185920000
5778,2003-10-31,0.416071,0.416964,0.406786,0.40875,0.350448,218153600
6110,2005-02-28,1.595714,1.612143,1.57,1.602143,1.373622,651610400
1031,1985-01-10,0.133929,0.134487,0.133929,0.133929,0.104821,277065600
4335,1998-02-05,0.162946,0.165179,0.160714,0.163504,0.140183,238268800
3058,1993-01-18,0.53125,0.535714,0.517857,0.53125,0.438674,333636800
2367,1990-04-25,0.345982,0.348214,0.341518,0.345982,0.278045,132574400
108,1981-05-19,0.123326,0.123326,0.122768,0.122768,0.096086,25424000
1117,1985-05-14,0.089286,0.089844,0.08817,0.08817,0.069008,121744000
2320,1990-02-15,0.301339,0.305804,0.299107,0.305804,0.244967,97966400
3145,1993-05-21,0.524554,0.527902,0.506696,0.513393,0.424853,148198400
5428,2002-06-13,0.3575,0.358036,0.346071,0.348929,0.29916,352083200
9988,2020-07-24,90.987503,92.970001,89.144997,92.614998,91.72364,185438800
4727,1999-08-26,0.545759,0.563616,0.545759,0.554688,0.47557,404488000
5888,2004-04-12,0.491071,0.501786,0.490893,0.500714,0.429295,230540800
8355,2014-01-29,17.998215,18.120358,17.807858,17.883928,15.857829,502810000
2733,1991-10-04,0.428571,0.435268,0.424107,0.430804,0.351809,79374400
1303,1986-02-07,0.107701,0.107701,0.104911,0.107143,0.083857,129404800
2676,1991-07-16,0.40625,0.408482,0.388393,0.390625,0.318279,222992000
9963,2020-06-18,87.852501,88.362503,87.305,87.932503,87.086212,96820400
6585,2007-01-18,3.289286,3.289643,3.180357,3.181071,2.72734,2364605600
5480,2002-08-27,0.280536,0.281071,0.262679,0.265179,0.227355,262231200
3507,1994-10-26,0.38058,0.3863,0.38058,0.386161,0.326362,196772800
8126,2013-03-04,15.278571,15.292857,14.964286,15.001786,13.051857,582755600
8595,2015-01-12,28.15,28.157499,27.200001,27.3125,24.727888,198603200
1397,1986-06-24,0.155134,0.156808,0.15346,0.155692,0.121855,141993600
7687,2011-06-02,12.375,12.427857,12.296429,12.360714,10.597644,338783200
4349,1998-02-26,0.199219,0.210379,0.195313,0.209821,0.179893,595134400
6319,2005-12-23,2.648929,2.652143,2.617857,2.619643,2.245991,229857600
2376,1990-05-08,0.366071,0.375,0.366071,0.372768,0.299571,112459200
8612,2015-02-05,30.004999,30.057501,29.8125,29.985001,27.254627,168984800
10273,2021-09-10,155.0,155.479996,148.699997,148.970001,148.752899,140646400
8211,2013-07-03,15.030714,15.106429,14.908929,15.028571,13.161705,240928800
2994,1992-10-15,0.408482,0.410714,0.404018,0.40625,0.334744,75420800
8007,2012-09-07,24.21607,24.374287,24.134644,24.30143,20.92466,329666400
8871,2016-02-17,24.1675,24.5525,24.0375,24.530001,22.709667,179452800
5777,2003-10-30,0.428393,0.428571,0.408393,0.412321,0.35351,260556800
1496,1986-11-12,0.159598,0.163504,0.15904,0.163504,0.127969,130995200
3287,1993-12-13,0.252232,0.263393,0.247768,0.263393,0.220173,244328000
8060,2012-11-26,20.567858,21.071428,20.489643,21.054644,18.211824,630579600
948,1984-09-12,0.119978,0.120536,0.116629,0.116629,0.091281,133123200
6014,2004-10-11,0.692857,0.6975,0.682143,0.689107,0.590816,323870400
1914,1988-07-11,0.40625,0.40625,0.40067,0.402902,0.318168,73628800
9987,2020-07-23,96.997498,97.077499,92.010002,92.845001,91.951424,197004400
5785,2003-11-11,0.391071,0.393214,0.383571,0.384643,0.32978,215073600
22,1981-01-15,0.139509,0.140625,0.139509,0.139509,0.109189,14067200
7719,2011-07-19,13.5,13.523214,13.332857,13.458929,11.539215,819145600
2471,1990-09-21,0.285714,0.290179,0.276786,0.28125,0.227336,153865600
4265,1997-10-24,0.16183,0.164063,0.147321,0.147879,0.126786,388236800
4404,1998-05-15,0.268415,0.271205,0.261161,0.263951,0.226302,272585600
9026,2016-09-27,28.25,28.295,28.084999,28.272499,26.476454,98429600
6926,2008-05-27,6.526786,6.658214,6.494286,6.658214,5.70852,789905200
101,1981-05-08,0.125,0.125558,0.125,0.125,0.097833,7907200
6958,2008-07-11,6.266786,6.325357,6.107143,6.163571,5.284431,930011600
5062,2000-12-21,0.254464,0.267857,0.247768,0.251116,0.215298,366844800
230,1981-11-10,0.082031,0.082589,0.082031,0.082031,0.064203,16755200
5075,2001-01-11,0.290179,0.330357,0.290179,0.321429,0.275582,803734400
7707,2011-06-30,11.953571,12.004643,11.887143,11.988214,10.278275,322954800
6381,2006-03-27,2.155357,2.192143,2.121429,2.125357,1.822207,1108072000
982,1984-10-30,0.111607,0.112723,0.111607,0.111607,0.087351,74592000
996,1984-11-19,0.103795,0.104353,0.097656,0.097656,0.076432,232982400
8807,2015-11-12,29.065001,29.205,28.9125,28.93,26.638597,130102400
8931,2016-05-12,23.18,23.195,22.3675,22.584999,21.036297,305258800
9948,2020-05-28,79.192497,80.860001,78.907501,79.5625,78.796753,133560800
8983,2016-07-27,26.067499,26.0875,25.6875,25.737499,23.97263,369379200
1923,1988-07-22,0.383929,0.386161,0.379464,0.379464,0.29966,103846400
9258,2017-08-29,40.025002,40.779999,40.0,40.727501,38.813007,118067600
