,Date,Open,High,Low,Close,Adj Close,Volume
1173,2020-03-09,121.078003,132.600006,121.0,121.599998,121.599998,85368500
460,2017-05-08,62.18,62.757999,61.164001,61.438,61.438,35032500
450,2017-04-24,61.844002,62.110001,61.203999,61.605999,61.605999,25417500
234,2016-06-14,43.776001,44.439999,42.506001,42.992001,42.992001,17901000
303,2016-09-21,41.273998,41.400002,40.312,41.043999,41.043999,13167500
583,2017-10-31,64.045998,66.389999,64.036003,66.306,66.306,28361500
132,2016-01-19,41.742001,42.094002,40.155998,40.944,40.944,20193500
983,2019-06-06,40.888,42.200001,40.360001,41.189999,41.189999,101211000
1228,2020-05-27,164.171997,165.542007,157.0,164.046005,164.046005,57747500
88,2015-11-12,43.57,43.799999,42.532001,42.588001,42.588001,14579500
683,2018-03-27,60.799999,60.854,55.436001,55.835999,55.835999,69360000
292,2016-09-06,39.804001,40.650002,39.799999,40.566002,40.566002,21953000
205,2016-05-03,47.472,47.782001,46.324001,46.464001,46.464001,21511000
711,2018-05-07,59.5,61.192001,59.034,60.554001,60.554001,43391000
1197,2020-04-13,118.031998,130.399994,116.106003,130.190002,130.190002,112377000
125,2016-01-07,42.838001,43.688,42.734001,43.130001,43.130001,17771500
1207,2020-04-27,147.522003,159.897995,147.0,159.75,159.75,103407000
90,2015-11-16,41.217999,42.995998,41.16,42.862,42.862,14627000
576,2017-10-20,70.538002,70.910004,68.867996,69.019997,69.019997,24652000
77,2015-10-28,42.262001,42.689999,41.66,42.591999,42.591999,13643000
321,2016-10-17,39.41,39.678001,38.400002,38.792,38.792,22770500
744,2018-06-22,70.307999,70.449997,66.400002,66.725998,66.725998,51330500
636,2018-01-18,69.134003,70.459999,68.748001,68.914001,68.914001,28429000
705,2018-04-27,57.074001,58.894001,56.765999,58.816002,58.816002,21823000
507,2017-07-14,64.638,65.683998,64.244003,65.556,65.556,28126000
809,2018-09-25,60.0,60.919998,59.299999,60.198002,60.198002,22408500
638,2018-01-22,69.879997,71.566002,69.839996,70.311996,70.311996,31052000
857,2018-12-03,72.0,73.199997,70.400002,71.697998,71.697998,41532500
224,2016-05-31,44.608002,44.950001,44.299999,44.646,44.646,13945000
611,2017-12-11,62.925999,65.802002,62.75,65.781998,65.781998,39690000
63,2015-10-08,46.015999,46.144001,44.262001,45.344002,45.344002,30666000
407,2017-02-21,55.09,56.279999,54.801998,55.478001,55.478001,28383500
1019,2019-07-29,45.417999,47.188,45.206001,47.153999,47.153999,46366500
863,2018-12-12,73.884003,74.382004,73.031998,73.32,73.32,25135000
1189,2020-03-31,100.25,108.592003,99.400002,104.800003,104.800003,88857500
375,2017-01-04,42.950001,45.599998,42.862,45.397999,45.397999,56067500
355,2016-12-05,36.501999,37.778,36.501999,37.360001,37.360001,20361000
775,2018-08-07,68.767998,77.491997,67.830002,75.914001,75.914001,154379000
654,2018-02-13,63.004002,64.837997,62.501999,64.732002,64.732002,22801000
420,2017-03-10,49.242001,49.299999,48.599998,48.737999,48.737999,15331500
51,2015-09-22,51.806,52.529999,51.174,52.188,52.188,18322000
779,2018-08-13,72.225998,72.638,69.804001,71.281998,71.281998,52319500
880,2019-01-08,68.391998,68.802002,65.403999,67.07,67.07,35042500
298,2016-09-14,39.150002,39.584,38.972,39.282001,39.282001,11272500
401,2017-02-10,53.958,54.189999,53.222,53.846001,53.846001,18098500
839,2018-11-06,67.814003,69.760002,67.218002,68.211998,68.211998,33814500
159,2016-02-26,37.740002,38.400002,37.0,38.068001,38.068001,30325500
24,2015-08-13,47.972,49.296001,47.824001,48.501999,48.501999,23446000
895,2019-01-30,60.09,61.799999,59.698002,61.754002,61.754002,56251500
672,2018-03-12,65.722,69.442001,65.300003,69.101997,69.101997,41320000
1037,2019-08-22,44.560001,45.080002,43.644001,44.43,44.43,32795000
124,2016-01-06,44.0,44.009998,43.195999,43.807999,43.807999,18895500
1118,2019-12-17,75.797997,77.099998,75.18,75.797997,75.797997,42484000
593,2017-11-14,63.0,63.27,61.380001,61.740002,61.740002,28380500
109,2015-12-14,43.501999,44.183998,42.973999,43.716,43.716,14135500
278,2016-08-16,45.098,45.438,44.681999,44.722,44.722,11335500
617,2017-12-19,68.052002,68.297997,66.059998,66.220001,66.220001,34125000
585,2017-11-02,60.026001,61.737999,58.526001,59.852001,59.852001,98957000
557,2017-09-25,70.629997,71.494003,68.575996,68.998001,68.998001,38029500
477,2017-06-01,68.800003,68.975998,67.458,68.073997,68.073997,38040000
451,2017-04-25,61.599998,62.796001,61.172001,62.757999,62.757999,33688500
272,2016-08-08,45.599998,45.919998,45.217999,45.231998,45.231998,11318000
80,2015-11-02,41.784,43.16,41.444,42.757999,42.757999,19639500
920,2019-03-07,55.768002,56.939999,54.849998,55.318001,55.318001,47212500
948,2019-04-16,53.150002,55.0,52.944,54.672001,54.672001,36364500
770,2018-07-31,58.450001,59.664001,57.813999,59.627998,59.627998,25384500
329,2016-10-27,42.268002,42.740002,40.330002,40.801998,40.801998,65468500
1013,2019-07-19,51.138,51.992001,50.924,51.636002,51.636002,35242000
1170,2020-03-04,152.792007,153.304001,144.945999,149.899994,149.899994,75245000
508,2017-07-17,65.108002,65.419998,62.689999,63.914001,63.914001,49384500
181,2016-03-30,47.018002,47.099998,45.299999,45.377998,45.377998,20165000
214,2016-05-16,41.630001,42.630001,41.584,41.658001,41.658001,14747000
1030,2019-08-13,45.762001,47.200001,45.509998,47.0,47.0,24240500
862,2018-12-11,73.982002,74.433998,72.045998,73.351997,73.351997,31544000
